id;Startdatum;Starttid;Slutdatum;Sluttid;Aktivitet;Grupp;Tillfälleskod/kurskod;Lokal;LAT;LONG;Info;Personal;Program/klass
201810021500ME1010;2018-10-02;15:00;2018-10-02;17:00;Föreläsning;;ME1010;F2;59.3483333333333;18.0738888888889;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201810041500DD1368;2018-10-04;15:00;2018-10-04;17:00;Föreläsning;DD1368 Helklass;DD1368;Q1;59.3502777777778;18.0666666666667;;Dena Hussain;"CDATE2, CLGYM3-TIKT"
201810051300DD1351;2018-10-05;13:00;2018-10-05;15:00;Föreläsning;DD1351 Helklass;DD1351;E1;59.3469444444444;18.0730555555556;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201810091000IS1500;2018-10-09;10:00;2018-10-09;12:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201810091300ME1010;2018-10-09;13:00;2018-10-09;15:00;Föreläsning;;ME1010;FR4;59.3538888888889;18.0583333333333;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201810111300IS1500;2018-10-11;13:00;2018-10-11;15:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201810291200DD1390;2018-10-29;12:00;2018-10-29;13:00;Information;;"DD1390, DD1391";D1;59.3466666666667;18.0738888888889;;Viggo Kann;CDATE2
201810291500IS1500;2018-10-29;15:00;2018-10-29;17:00;Föreläsning;;IS1500;F2;59.3483333333333;18.0738888888889;;David Broman;"CDATE2, CLGYM2-TIKT"
201810301000DD1351;2018-10-30;10:00;2018-10-30;12:00;Föreläsning;DD1351 Helklass;DD1351;E1;59.3469444444444;18.0730555555556;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201810301300DD1368;2018-10-30;13:00;2018-10-30;15:00;Föreläsning;DD1368 Helklass;DD1368;M1;59.3536111111111;18.0652777777778;;Dena Hussain;CDATE2
201811010800DD1351;2018-11-01;08:00;2018-11-01;10:00;Föreläsning;DD1351 Helklass;DD1351;Q1;59.3502777777778;18.0666666666667;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201811011500ME1010;2018-11-01;15:00;2018-11-01;17:00;Föreläsning;;ME1010;F2;59.3483333333333;18.0738888888889;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201811050800DD1351;2018-11-05;08:00;2018-11-05;10:00;Föreläsning;DD1351 Helklass;DD1351;F2;59.3483333333333;18.0738888888889;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201811051300DD1368;2018-11-05;13:00;2018-11-05;15:00;Föreläsning;DD1368 Helklass;DD1368;Q1;59.3502777777778;18.0666666666667;;Dena Hussain;CDATE2
201811121300DD1351;2018-11-12;13:00;2018-11-12;15:00;Föreläsning;DD1351 Helklass;DD1351;M1;59.3536111111111;18.0652777777778;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201811131000DD1351;2018-11-13;10:00;2018-11-13;12:00;Föreläsning;DD1351 Helklass;DD1351;D1;59.3466666666667;18.0738888888889;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201811151300ME1010;2018-11-15;13:00;2018-11-15;15:00;Föreläsning;;ME1010;Q1;59.3502777777778;18.0666666666667;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201811201000DD1351;2018-11-20;10:00;2018-11-20;12:00;Föreläsning;DD1351 Helklass;DD1351;D1;59.3466666666667;18.0738888888889;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201811221500IS1500;2018-11-22;15:00;2018-11-22;17:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201811230800IS1500;2018-11-23;08:00;2018-11-23;10:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201811231000DD1351;2018-11-23;10:00;2018-11-23;12:00;Föreläsning;DD1351 Helklass;DD1351;Q1;59.3502777777778;18.0666666666667;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201811231300ME1010;2018-11-23;13:00;2018-11-23;15:00;Föreläsning;;ME1010;Q1;59.3502777777778;18.0666666666667;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201811260800DD1393;2018-11-26;08:00;2018-11-26;10:00;Föreläsning;;DD1393;D1;59.3466666666667;18.0738888888889;;"Björn Thuresson, Dena Hussain";"CDATE2, CLGYM3-TIKT"
201811270800DD1351;2018-11-27;08:00;2018-11-27;10:00;Föreläsning;DD1351 Helklass;DD1351;F2;59.3483333333333;18.0738888888889;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201811291500DD1393;2018-11-29;15:00;2018-11-29;17:00;Föreläsning;;DD1393;E1;59.3469444444444;18.0730555555556;;"Björn Thuresson, Dena Hussain";"CDATE2, CLGYM3-TIKT"
201812030800DD1351;2018-12-03;08:00;2018-12-03;10:00;Föreläsning;DD1351 Helklass;DD1351;E1;59.3469444444444;18.0730555555556;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201812040800DD1351;2018-12-04;08:00;2018-12-04;10:00;Föreläsning;DD1351 Helklass;DD1351;F2;59.3483333333333;18.0738888888889;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201812041500DD1393;2018-12-04;15:00;2018-12-04;17:00;Föreläsning;;DD1393;E1;59.3469444444444;18.0730555555556;;"Björn Thuresson, Dena Hussain";"CDATE2, CLGYM3-TIKT"
201812061300ME1010;2018-12-06;13:00;2018-12-06;15:00;Föreläsning;;ME1010;D1;59.3466666666667;18.0738888888889;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201812061500DD1393;2018-12-06;15:00;2018-12-06;17:00;Föreläsning;;DD1393;D1;59.3466666666667;18.0738888888889;;"Björn Thuresson, Dena Hussain";"CDATE2, CLGYM3-TIKT"
201812100800IS1500;2018-12-10;08:00;2018-12-10;10:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201812111300ME1010;2018-12-11;13:00;2018-12-11;15:00;Föreläsning;;ME1010;F2;59.3483333333333;18.0738888888889;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201812111500DD1393;2018-12-11;15:00;2018-12-11;17:00;Föreläsning;;DD1393;D1;59.3466666666667;18.0738888888889;;"Björn Thuresson, Dena Hussain";"CDATE2, CLGYM3-TIKT"
201812131300DD1393;2018-12-13;13:00;2018-12-13;15:00;Föreläsning;;DD1393;F2;59.3483333333333;18.0738888888889;;"Björn Thuresson, Dena Hussain";"CDATE2, CLGYM3-TIKT"
201901141000SF1626;2019-01-14;10:00;2019-01-14;12:00;Föreläsning;;SF1626;Q1;59.3502777777778;18.0666666666667;;Roy Skjelnes;"CDATE2, CMAST1, CMETE2"
