Startdatum,Starttid,Slutdatum,Sluttid,Aktivitet,Grupp,Tillfälleskod/kurskod,Lokal,Info,Personal,Program/klass 
2018-09-17,13:00,2018-09-17,15:00,Övning,"IS1500 grupp C, IS1500 grupp D",IS1500,"Q33, Q34",,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-17,15:00,2018-09-17,17:00,Föreläsning,,ME1010,E1,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-09-18,10:00,2018-09-18,12:00,Föreläsning,DD1351 Helklass,DD1351,M1,,Alf Thomas Sjöland,"CDATE2, CINTE2, CINTE3"
2018-09-18,13:00,2018-09-18,15:00,Föreläsning,DD1368 Helklass,DD1368,Q1,,Dena Hussain,CDATE2
2018-09-19,08:00,2018-09-19,12:00,Laboration,,IS1500,5O1Spe (Spelhallen),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-19,12:00,2018-09-19,13:00,Övning,,IS1500,U41,,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-19,13:00,2018-09-19,17:00,Laboration,,IS1500,5O1Spe (Spelhallen),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-20,08:00,2018-09-20,12:00,Laboration,,IS1500,4V3Ora (Orange),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-20,08:00,2018-09-20,12:00,Övning,DD1368 Helklass,DD1368,"Q11, Q13, Q22, Q24",,Dena Hussain,CDATE2
2018-09-20,13:00,2018-09-20,17:00,Laboration,,IS1500,5O1Spe (Spelhallen),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-20,13:00,2018-09-20,17:00,Övning,DD1368 Helklass,DD1368,"D35, E33, E35, E36",,Dena Hussain,CDATE2
2018-09-21,10:00,2018-09-21,12:00,Övning,DD1351 Helklass,DD1351,"Q31, Q33, Q34, Q36",,"Alf Thomas Sjöland, Johan Karlander","CDATE2, CINTE2, CINTE3"
2018-09-21,13:00,2018-09-21,17:00,Laboration,,IS1500,4V2Röd (Röd),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-24,08:00,2018-09-24,10:00,Föreläsning,DD1351 Helklass,DD1351,E1,,Alf Thomas Sjöland,"CDATE2, CINTE2, CINTE3"
2018-09-24,10:00,2018-09-24,12:00,Föreläsning,,ME1010,E1,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-09-24,13:00,2018-09-24,15:00,Föreläsning,,IS1500,Q1,,David Broman,"CDATE2, CLGYM2-TIKT"
2018-09-24,15:00,2018-09-24,19:00,Laboration,,IS1500,5V2Kar (Karmosin),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-25,08:00,2018-09-25,10:00,Övning,,ME1010,"Q13, Q15, Q17",,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-09-25,10:00,2018-09-25,12:00,Föreläsning,,IS1500,Q1,,David Broman,"CDATE2, CLGYM2-TIKT"
2018-09-25,13:00,2018-09-25,15:00,Övning,,ME1010,"Q11, Q13, Q21",,"Gisela Bäcklander, Maria Lindhagen",CDATE2
